generation,fitness,avg_waiting_time,throughput,green_J_0_0_A,green_J_0_1_A,green_J_0_2_A,green_J_0_3_A,green_J_0_4_A,green_J_1_0_A,green_J_1_1_A,green_J_1_2_A,green_J_1_3_A,green_J_1_4_A,green_J_2_0_A,green_J_2_1_A,green_J_2_2_A,green_J_2_3_A,green_J_2_4_A,green_J_3_0_A,green_J_3_1_A,green_J_3_2_A,green_J_3_3_A,green_J_3_4_A,green_J_0_0_B,green_J_0_1_B,green_J_0_2_B,green_J_0_3_B,green_J_0_4_B,green_J_1_0_B,green_J_1_1_B,green_J_1_2_B,green_J_1_3_B,green_J_1_4_B,green_J_2_0_B,green_J_2_1_B,green_J_2_2_B,green_J_2_3_B,green_J_2_4_B,green_J_3_0_B,green_J_3_1_B,green_J_3_2_B,green_J_3_3_B,green_J_3_4_B
1,344.14600000009875,96.72965879239172,381,18,26,46,50,21,42,18,60,42,76,27,51,28,44,42,29,18,79,49,27,34,28,55,64,38,78,37,71,78,45,12,79,45,71,30,12,73,18,44,59
2,381.4282500001152,87.49222488010722,418,16,11,45,50,30,64,43,13,25,39,77,25,33,41,16,30,18,58,49,27,34,28,11,64,35,27,47,65,27,14,65,45,26,44,55,76,73,54,44,31
3,397.16970000021655,80.62569444394317,432,62,53,28,41,67,33,43,13,25,39,77,25,33,41,16,72,11,60,51,35,77,27,42,46,77,27,47,65,27,14,65,45,26,44,56,42,18,52,49,37
4,397.16970000021655,80.62569444394317,432,62,53,28,41,67,33,43,13,25,39,77,25,33,41,16,72,11,60,51,35,77,27,42,46,77,27,47,65,27,14,65,45,26,44,56,42,18,52,49,37
5,397.16970000021655,80.62569444394317,432,62,53,28,41,67,33,43,13,25,39,77,25,33,41,16,72,11,60,51,35,77,27,42,46,77,27,47,65,27,14,65,45,26,44,56,42,18,52,49,37
6,401.7129000003064,76.52206896481293,435,16,11,45,41,21,62,55,54,24,31,79,25,23,34,48,53,76,60,49,27,71,28,74,46,10,21,25,65,67,14,67,10,18,44,63,42,67,78,44,31
7,401.7129000003064,76.52206896481293,435,16,11,45,41,21,62,55,54,24,31,79,25,23,34,48,53,76,60,49,27,71,28,74,46,10,21,25,65,67,14,67,10,18,44,63,42,67,78,44,31
8,403.9911500002644,77.64577625510418,438,18,11,45,41,21,62,62,54,24,31,79,25,23,34,23,30,76,14,49,27,57,27,74,46,36,21,25,65,67,14,67,72,13,44,63,42,67,78,44,20
9,407.538250000238,74.132696628486,445,16,34,45,41,21,71,55,13,25,39,77,25,33,41,16,39,11,60,64,27,71,28,74,46,10,65,25,65,27,14,65,45,26,44,56,42,18,78,44,21
10,417.62835000018504,72.6792494474006,453,16,68,49,77,47,76,55,54,24,31,79,36,16,55,48,53,35,19,20,27,71,28,74,46,25,21,63,65,33,14,67,38,18,51,73,42,67,17,72,31
11,417.62835000018504,76.15372806968725,456,16,68,49,77,47,76,55,54,24,31,79,36,16,55,48,53,35,19,20,27,71,28,74,46,25,21,63,65,33,14,67,38,18,51,73,42,67,17,72,31
12,420.59700000029966,76.15372806968725,456,16,34,45,41,21,62,55,54,31,31,79,36,37,55,48,39,11,60,64,27,68,28,74,46,10,21,25,65,33,14,67,38,55,51,13,42,18,78,69,21
13,420.59700000029966,76.15372806968725,456,16,34,45,41,21,62,55,54,31,31,79,36,37,55,48,39,11,60,64,27,68,28,74,46,10,21,25,65,33,14,67,38,55,51,13,42,18,78,69,21
14,420.59700000029966,76.15372806968725,456,16,34,45,41,21,62,55,54,31,31,79,36,37,55,48,39,11,60,64,27,68,28,74,46,10,21,25,65,33,14,67,38,55,51,13,42,18,78,69,21
15,420.59700000029966,76.15372806968725,456,16,34,45,41,21,62,55,54,31,31,79,36,37,55,48,39,11,60,64,27,68,28,74,46,10,21,25,65,33,14,67,38,55,51,13,42,18,78,69,21
16,420.59700000029966,76.15372806968725,456,16,34,45,41,21,62,55,54,31,31,79,36,37,55,48,39,11,60,64,27,68,28,74,46,10,21,25,65,33,14,67,38,55,51,13,42,18,78,69,21
17,420.59700000029966,76.15372806968725,456,16,34,45,41,21,62,55,54,31,31,79,36,37,55,48,39,11,60,64,27,68,28,74,46,10,21,25,65,33,14,67,38,55,51,13,42,18,78,69,21
18,420.59700000029966,76.15372806968725,456,16,34,45,41,21,62,55,54,31,31,79,36,37,55,48,39,11,60,64,27,68,28,74,46,10,21,25,65,33,14,67,38,55,51,13,42,18,78,69,21
19,420.59700000029966,76.15372806968725,456,16,34,45,41,21,62,55,54,31,31,79,36,37,55,48,39,11,60,64,27,68,28,74,46,10,21,25,65,33,14,67,38,55,51,13,42,18,78,69,21
20,420.59700000029966,76.15372806968725,456,16,34,45,41,21,62,55,54,31,31,79,36,37,55,48,39,11,60,64,27,68,28,74,46,10,21,25,65,33,14,67,38,55,51,13,42,18,78,69,21
